"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.3163300239644","25.1671383454329","24.6880207369006","27.1760350050488","21.1746907833488","24.0274924471299","19.8116932422172","13.1100302835643","15.053036255472","17.8319241609019","-2.09937949492103","13.6898840045964","3.41819953709345","16.001393385517","11.5704539788309","4.95049504950495","-1.375653961136","6.0292408119467","7.26833725592748","10.9851193034226","15.5288064046293","16.0886226581087","14.9808942736209","12.0006985278832","16.1414994040816","5.53569236790034","15.4157755415471","","",
"Africa Eastern and Southern","AFE","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","22.6254729248772","26.7909758695157","23.5435972494839","19.7775449108165","19.8362107888506","18.671554058845","","18.7142106948032","17.0528338478923","17.3871836736629","17.5228891811032","13.5134573983119","12.4157666597236","15.1515353800204","16.8227997340244","15.9017489093657","16.6084127434316","16.0860569086165","15.6963553842516","15.9144541597579","15.6221800726116","17.6089282758996","16.9221118166209","19.6130721091825","20.0513077063912","20.1212234187191","20.8503202921178","22.2256161212469","22.2118589382879","22.290339777305","19.103125523436","20.1474196206579","20.4268301457211","19.0142892734362","19.0233938385768","20.031267935759","18.4115536460573","18.9691543254008","19.1471625059708","19.5165224660399","20.2127685025369","20.2031790024229","19.6724997876952","","",
"Afghanistan","AFG","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2841559896523","13.0616082672574","13.1369687408388","13.4332030001672","14.4920868754475","14.1584375381535","12.1985546429521","12.6590510151272","18.8658605416654","17.3117129541092","16.382090578708","16.8975230260321","15.9972781481377","15.1006901921588","19.0864253125495","17.1534294022866","16.6082043707513","18.3975003045073","18.0888601397681","12.2562418657537","10.8174692032451","11.1012617354433","26.2853147136702","20.7978497166332","21.7856076985987","22.3571037608993","28.7859748991075","18.9684645927037","22.8984679101194","18.3767325314852","16.867911474359","18.3204537339406","19.2002967014072","21.5966369517192","26.075783390709","31.0624999744011","","",
"Angola","AGO","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.0554136813391","17.5450639869731","32.3347229473668","28.8519074680264","37.5128985319467","46.2278749445857","49.264953985907","46.9674164478886","45.7465270529109","30.6304595516828","40.923093287263","41.4587533952508","40.4951038207633","34.4889428079832","31.8047646939619","26.1104425370296","25.28568498671","24.565710525555","27.1933998810933","35.285796926718","33.2275783534669","43.6582022767433","","",
"Albania","ALB","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","27.7633928696969","28.3890496588684","28.2412200428978","26.0557467850521","23.722953857328","26.8294588524583","18.7953621826126","-11.1724799096975","-12.6757908337552","10.8965665216971","3.08718706892246","16.0647849563646","15.7790050727554","5.45091556331419","16.831539843229","14.5584379729057","25.1355402366035","28.0249471583832","24.892031750862","25.5721077451747","28.7083963748256","29.5126218060275","28.2366475729062","23.3039506615691","17.641873589508","17.6159378687425","20.169121591287","20.5401346511725","19.7723793874733","17.4405418060697","15.7846777054225","16.6664487538583","16.776610821458","16.4891012304818","16.5673890905007","14.5875302509286","13.7301045413876","19.559687822402","","",
"Andorra","AND","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","41.9113367849302","31.340648858595","27.5733320344814","25.1531004429672","","19.9751242542142","21.1287801693397","20.8502370861271","20.3144341424631","","8.19762767680726","","","","","","","","","","","24.8426456791449","29.024566346836","34.1005071090184","41.5273030838663","43.3577527809079","42.2325902496306","45.1481302333822","31.2421998454124","36.281811228205","41.6237180228039","40.9454852949013","38.2664604138688","34.5256084206937","24.3607266948707","23.9133328041185","27.8819282255013","32.1559543733064","29.90664467365","21.2756853171546","","","",
"United Arab Emirates","ARE","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","34.0383940470118","32.762627840381","30.3709905513037","25.4461752656833","23.1919421674957","20.3549315076925","19.531707885895","19.6541570640908","18.5845262730536","18.6889360303565","15.4828490506947","15.9386012226418","18.410053657159","14.8758589776361","16.7796436464598","13.9942999702469","13.9105200293942","16.4589610718344","15.8763404426322","16.8159013272578","17.4835419835293","17.0257625640378","16.5394780825706","14.0312889140363","14.7604401633969","14.6349221695948","22.4844277033786","22.6459704750227","15.5057969262885","15.4661208344062","22.1466790602906","22.8298235396866","21.6625917465831","18.9022195572135","17.9432661836076","17.8432311123855","16.6024808058107","15.5274874483463","16.2419215544016","14.5787445031001","14.9515917433589","13.4111539778791","11.8154986312032","14.2505602710508","17.4729809527572","21.9951323120705","","",
"Armenia","ARM","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.44530074503689","2.5767059069833","-2.07409141294749","1.73888389406427","3.69503567517812","0.733396469315695","2.75210120689481","-0.899274027628025","5.25423603641828","9.90216541086912","15.8184371528916","18.9296631248462","23.3267068818265","27.2554693262702","27.1345971647551","26.343387107865","13.4879742324659","12.5782786115798","10.7152997427022","13.5566829224021","13.9788107440222","12.7095593862025","17.733879289587","17.4690394349588","16.3549456360106","15.1189095519061","9.8284630231173","16.1759744462285","16.9699550572336","","",
"American Samoa","ASM","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3492017584452","21.6936996216483","25.3825346198878","16.5861926012632","19.6113282897882","21.845296108823","21.7066767459278","21.6120898209805","13.7811716352205","12.6254480098675","12.4543358743359","13.8673325655856","10.6584193552601","11.5015116938486","8.41456410585001","11.8580097786155","25.3085272077107","13.9043980412504","10.7507349986607","7.40547671816079","7.47153772292904","2.93075302557268","7.64170464617601","10.4555541560483","16.1138483307393","24.2324232476267","28.1527259529303","14.5480701834217","","","",
"Australia","AUS","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.4137084410681","25.3287413335056","21.7055465216863","19.074951976093","20.8856287784649","22.3682516307498","21.374201484521","21.6675062814078","22.5734049163369","22.332545322703","21.3093252054232","21.8418227907022","21.3601680419432","22.3991613710373","21.7040798093052","22.1630260990617","21.7991487249052","22.5970682431163","22.4020373958305","22.8798053045545","24.9280766294322","22.7297146133962","24.302403956939","25.1348635703409","24.5873345352804","24.3022845828815","23.1714004408527","21.2207341067175","22.4187176722598","22.4450585278852","23.1589945607936","24.2228044285849","26.0642391048845","","",
"Austria","AUT","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.111923162247","26.6736475116422","28.2182768009564","28.4639320213648","24.8502958538551","25.6106628680316","26.0068447944559","25.7491174598368","25.4156063110548","25.9519232070045","25.9084117598474","27.1209622014253","26.591976113539","27.034503201937","27.9198096338679","28.4859557945891","28.1437494939299","","",
"Azerbaijan","AZE","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.29264719301539","2.11049980548317","13.8529385750555","6.59640943139356","13.9059422753881","20.3971474436171","24.2787752103922","23.4410030031155","26.9644741622217","29.2746371179366","44.8157743992356","51.2156226178645","53.1292247124799","55.6633105727178","43.5849880346339","47.5793632129492","50.2299897712447","46.926836496291","44.9974327263947","41.9491731157453","29.0508193715189","24.0451167922668","30.1662217800014","33.7690333241531","29.7183187937011","23.7190517326249","33.5224505350681","","",
"Burundi","BDI","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","10.430324497239","8.78548353276522","14.5610485132601","8.74975958694132","14.6238598899412","8.81994198997389","11.7951302190105","5.20940533300351","12.2395491581049","5.48472373204272","6.09285916661983","3.79834756481364","6.1193692169878","0.671539102973546","2.45233536604119","1.30650510165768","1.51111236213858","4.27098890500577","6.91330962769826","6.78985157133779","15.5977733661207","8.06335677199901","7.36942276899474","-1.50876034135338","9.94936374071595","3.23041052368906","1.96711736348348","10.9129054027743","3.92966224600917","0.593932299453562","11.2834298639336","6.70376675132502","7.56375540009998","5.52795490404513","","","","","",
"Belgium","BEL","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.9237635555936","25.7328791641965","26.8219110212696","26.9797639569545","27.4531885324559","28.3847479781816","26.7760778683231","24.5462669713944","24.9680667209677","23.4631068879501","24.1707131002947","23.6514580996382","24.07202707796","24.6596801145232","24.5811880711238","24.9264000880435","24.2836336065181","24.8680106508984","25.1865527301766","26.1933834655321","","",
"Benin","BEN","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","11.0560457347645","10.1688640697372","11.215815138723","13.61873268908","10.5006648064103","12.6286098462303","4.18106107930056","-3.25963643888194","13.2844189307402","8.29321348929193","7.73441574923059","2.68899604713711","4.21948337658845","4.43912206884117","0.782408066281525","4.63184792797098","9.88472362569494","10.926170704759","9.92924299958833","9.85794851749971","14.8321832312629","16.2281296865243","15.5469208396641","16.4034987115928","15.8852117453352","12.4984819787279","12.728348343153","13.3319740259719","13.7056734055683","11.4480992661213","13.3367259327248","12.2239957660874","12.5186834020724","14.1291161740664","12.6564225993571","11.4934844875323","11.4515562080294","12.1432753102226","13.6147173512483","16.3734301966885","18.6883218830533","13.9755688580432","17.5548916890452","17.5934021394948","19.8543820546233","21.9381496007088","21.538793321218","","","",
"Burkina Faso","BFA","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.91533776433809","6.33182659604128","10.1989498013623","9.64195628601574","11.6366972082284","16.3265497365752","18.2315616992441","18.531750709899","14.7904312402165","13.9970422796586","12.4254039752804","14.0778151215646","15.3463650862792","17.6662375534792","17.8040627152272","","","","",
"Bangladesh","BGD","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","-0.841889909747201","10.0841137006715","5.7232063732959","7.08983729820491","8.3242608176148","20.7929668556767","23.126806688019","22.4444835914071","15.8491895643872","21.1622547393928","22.3368645298493","22.1077561087663","21.7016795679002","21.8624179017166","22.570328473555","22.0887245049157","21.4727340187331","20.3474036278617","21.737515215823","21.4907695209159","22.5506566991237","23.7242502152672","25.1149907427208","25.8674243386214","26.9237261553823","27.5851546492958","29.5691136344209","28.9956958926891","30.2678703324298","30.9892303081034","33.451579139857","34.1277747829596","34.7108482094843","36.112926577455","35.8754321304425","35.2650217458057","37.4283340204237","36.7871540358758","35.4188008099105","34.4944768379367","35.6116283122918","34.1072434614113","34.0953208906597","34.9229994678303","35.7119146192046","34.2479436170974","","",
"Bulgaria","BGR","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","30.1537649362366","36.4239757163813","35.2058454621577","33.9244610256773","35.4069756403197","31.9667815210664","32.3315877346105","30.6761085073458","33.2986972952","29.685166393464","15.9173027685387","19.2963157376726","13.0371379242255","6.32819450783767","8.68205022389735","26.1603667142017","10.2881732288799","22.050184033586","25.6745147579733","16.3339645726061","13.8212816870922","15.6939759307093","17.6162824220688","16.5408858439338","16.7810034753128","16.7100668008132","15.3240763807249","10.3967679694674","15.5357240671453","20.2766496589604","21.6401368084826","23.1462048551657","22.5603235148802","24.4371999551079","23.582696174776","22.9057535200244","24.5959074126469","25.6964066064963","24.5132909937223","24.9947524187124","21.1687654944951","21.8841660404854","","",
"Bahrain","BHR","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","54.7879769875377","54.9157520550136","50.3037102138364","48.8215249212286","43.5821871713675","38.1716508631169","26.2119391025641","28.1782606692348","35.1788617886179","26.2678408745824","34.3789209535759","14.9148041602124","11.9544064498193","11.9634507280651","17.3209505117273","18.8290060636952","18.6850421194405","17.6209068576573","9.08900886642651","7.66885904088524","26.3842732846557","18.9176846854712","24.1492319931759","26.7376693378017","25.2072437344681","36.9197054931944","43.1052781546399","48.7592102131327","45.3555864012965","31.9261390158899","33.3532134517374","30.925185547498","37.7674554850156","34.6180531198843","33.0215914971106","24.9967901557324","26.4175968196413","30.5703798958382","30.4993672299561","","","","","",
"Bahamas, The","BHS","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","17.9377184620273","11.3823445926767","10.8924755622664","17.5299800133245","14.7575631570689","21.524849657842","23.3205795646992","14.9200426439232","18.4524049554883","18.3188431124121","18.7576527742385","","20.6971744471744","20.1329680609381","15.4046846011132","19.9180544541369","17.8016601430692","17.1384635099635","28.0758371921188","32.3066401922558","29.5312439318032","28.3725051689945","34.4005319521984","33.2623134041559","29.4480922978767","32.802415111767","31.7478179375911","33.219205359677","30.3969955755644","27.1798376762067","28.4135349493681","26.7854314523076","25.7387769386028","24.0069324582237","21.0622454738191","21.4841814233371","21.2202526945289","21.0996243344291","21.9718638051434","23.2115329178995","17.5380231043517","16.0272368441244","21.2178959041915","12.1912632476242","7.94487619090352","","",
"Bosnia and Herzegovina","BIH","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5194854006222","8.20064754559338","6.10033490599144","3.51265674723528","11.8039337762799","7.52925990970804","10.5243474969792","12.8973013091248","11.0422124679149","9.12823971036376","8.51008660785386","7.92597487124826","6.5929466924512","8.54458675236367","9.47556633862708","11.7203450505224","13.566155787713","15.6244547598122","18.0671970068115","19.1059256505306","16.7859869388927","20.9300269367846","","",
