Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.31633002,25.16713835,24.68802074,27.17603501,21.17469078,24.02749245,19.81169324,13.11003028,15.05303626,17.83192416,-2.099379495,13.689884,3.418199537,16.00139339,11.57045398,4.95049505,-1.375653961,6.029240812,7.268337256,10.9851193,15.5288064,16.08862266,14.98089427,12.00069853,16.1414994,5.535692368,15.41577554,,
Africa Eastern and Southern,AFE,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,22.62547292,26.79097587,23.54359725,19.77754491,19.83621079,18.67155406,,18.71421069,17.05283385,17.38718367,17.52288918,13.5134574,12.41576666,15.15153538,16.82279973,15.90174891,16.60841274,16.08605691,15.69635538,15.91445416,15.62218007,17.60892828,16.92211182,19.61307211,20.05130771,20.12122342,20.85032029,22.22561612,22.21185894,22.29033978,19.10312552,20.14741962,20.42683015,19.01428927,19.02339384,20.03126794,18.41155365,18.96915433,19.14716251,19.51652247,20.2127685,20.203179,19.67249979,,
Afghanistan,AFG,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,13.28415599,13.06160827,13.13696874,13.433203,14.49208688,14.15843754,12.19855464,12.65905102,18.86586054,17.31171295,16.38209058,16.89752303,15.99727815,15.10069019,19.08642531,17.1534294,16.60820437,18.3975003,18.08886014,12.25624187,10.8174692,11.10126174,26.28531471,20.79784972,21.7856077,22.35710376,28.7859749,18.96846459,22.89846791,18.37673253,16.86791147,18.32045373,19.2002967,21.59663695,26.07578339,31.06249997,,
Angola,AGO,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.05541368,17.54506399,32.33472295,28.85190747,37.51289853,46.22787494,49.26495399,46.96741645,45.74652705,30.63045955,40.92309329,41.4587534,40.49510382,34.48894281,31.80476469,26.11044254,25.28568499,24.56571053,27.19339988,35.28579693,33.22757835,43.65820228,,
Albania,ALB,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,27.76339287,28.38904966,28.24122004,26.05574679,23.72295386,26.82945885,18.79536218,-11.17247991,-12.67579083,10.89656652,3.087187069,16.06478496,15.77900507,5.450915563,16.83153984,14.55843797,25.13554024,28.02494716,24.89203175,25.57210775,28.70839637,29.51262181,28.23664757,23.30395066,17.64187359,17.61593787,20.16912159,20.54013465,19.77237939,17.44054181,15.78467771,16.66644875,16.77661082,16.48910123,16.56738909,14.58753025,13.73010454,19.55968782,,
Andorra,AND,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,41.91133678,31.34064886,27.57333203,25.15310044,,19.97512425,21.12878017,20.85023709,20.31443414,,8.197627677,,,,,,,,,,,24.84264568,29.02456635,34.10050711,41.52730308,43.35775278,42.23259025,45.14813023,31.24219985,36.28181123,41.62371802,40.94548529,38.26646041,34.52560842,24.36072669,23.9133328,27.88192823,32.15595437,29.90664467,21.27568532,,,
United Arab Emirates,ARE,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,34.03839405,32.76262784,30.37099055,25.44617527,23.19194217,20.35493151,19.53170789,19.65415706,18.58452627,18.68893603,15.48284905,15.93860122,18.41005366,14.87585898,16.77964365,13.99429997,13.91052003,16.45896107,15.87634044,16.81590133,17.48354198,17.02576256,16.53947808,14.03128891,14.76044016,14.63492217,22.4844277,22.64597048,15.50579693,15.46612083,22.14667906,22.82982354,21.66259175,18.90221956,17.94326618,17.84323111,16.60248081,15.52748745,16.24192155,14.5787445,14.95159174,13.41115398,11.81549863,14.25056027,17.47298095,21.99513231,,
Armenia,ARM,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.445300745,2.576705907,-2.074091413,1.738883894,3.695035675,0.733396469,2.752101207,-0.899274028,5.254236036,9.902165411,15.81843715,18.92966312,23.32670688,27.25546933,27.13459716,26.34338711,13.48797423,12.57827861,10.71529974,13.55668292,13.97881074,12.70955939,17.73387929,17.46903943,16.35494564,15.11890955,9.828463023,16.17597445,16.96995506,,
American Samoa,ASM,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.34920176,21.69369962,25.38253462,16.5861926,19.61132829,21.84529611,21.70667675,21.61208982,13.78117164,12.62544801,12.45433587,13.86733257,10.65841936,11.50151169,8.414564106,11.85800978,25.30852721,13.90439804,10.750735,7.405476718,7.471537723,2.930753026,7.641704646,10.45555416,16.11384833,24.23242325,28.15272595,14.54807018,,,
Australia,AUS,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.41370844,25.32874133,21.70554652,19.07495198,20.88562878,22.36825163,21.37420148,21.66750628,22.57340492,22.33254532,21.30932521,21.84182279,21.36016804,22.39916137,21.70407981,22.1630261,21.79914872,22.59706824,22.4020374,22.8798053,24.92807663,22.72971461,24.30240396,25.13486357,24.58733454,24.30228458,23.17140044,21.22073411,22.41871767,22.44505853,23.15899456,24.22280443,26.0642391,,
Austria,AUT,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.11192316,26.67364751,28.2182768,28.46393202,24.85029585,25.61066287,26.00684479,25.74911746,25.41560631,25.95192321,25.90841176,27.1209622,26.59197611,27.0345032,27.91980963,28.48595579,28.14374949,,
Azerbaijan,AZE,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.292647193,2.110499805,13.85293858,6.596409431,13.90594228,20.39714744,24.27877521,23.441003,26.96447416,29.27463712,44.8157744,51.21562262,53.12922471,55.66331057,43.58498803,47.57936321,50.22998977,46.9268365,44.99743273,41.94917312,29.05081937,24.04511679,30.16622178,33.76903332,29.71831879,23.71905173,33.52245054,,
Burundi,BDI,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,10.4303245,8.785483533,14.56104851,8.749759587,14.62385989,8.81994199,11.79513022,5.209405333,12.23954916,5.484723732,6.092859167,3.798347565,6.119369217,0.671539103,2.452335366,1.306505102,1.511112362,4.270988905,6.913309628,6.789851571,15.59777337,8.063356772,7.369422769,-1.508760341,9.949363741,3.230410524,1.967117363,10.9129054,3.929662246,0.593932299,11.28342986,6.703766751,7.5637554,5.527954904,,,,,
Belgium,BEL,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.92376356,25.73287916,26.82191102,26.97976396,27.45318853,28.38474798,26.77607787,24.54626697,24.96806672,23.46310689,24.1707131,23.6514581,24.07202708,24.65968011,24.58118807,24.92640009,24.28363361,24.86801065,25.18655273,26.19338347,,
Benin,BEN,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,11.05604573,10.16886407,11.21581514,13.61873269,10.50066481,12.62860985,4.181061079,-3.259636439,13.28441893,8.293213489,7.734415749,2.688996047,4.219483377,4.439122069,0.782408066,4.631847928,9.884723626,10.9261707,9.929243,9.857948517,14.83218323,16.22812969,15.54692084,16.40349871,15.88521175,12.49848198,12.72834834,13.33197403,13.70567341,11.44809927,13.33672593,12.22399577,12.5186834,14.12911617,12.6564226,11.49348449,11.45155621,12.14327531,13.61471735,16.3734302,18.68832188,13.97556886,17.55489169,17.59340214,19.85438205,21.9381496,21.53879332,,,
